"variable","horizon","n_eval","DM_stat","p_value","MSFE_rel"
"PIB",1,108,-4.86460993666426,1.98323791702472e-06,0.393071305316397
"PIB",2,107,-5.56971026999807,9.73565187496748e-08,0.349809198832824
"PIB",4,105,-3.82075270663785,0.000113358012248729,0.566105693117529
"IPCA",1,108,-1.42327423463409,0.0787829725792701,0.824115434018686
"IPCA",2,107,-2.39178042598871,0.00926422093743178,0.708589440847749
"IPCA",4,105,-2.36811604024676,0.00986335924639733,0.603335713863576
"SELIC",1,108,-5.01429606495299,1.06189068210824e-06,0.376924432831118
"SELIC",2,107,-3.26438325543864,0.000738714146164086,0.568246559889028
"SELIC",4,105,-3.7250627131284,0.000158814275587618,0.447026546062481
"CAMBIO",1,108,-2.6219017128835,0.00500907164449649,0.617994667320246
"CAMBIO",2,107,-3.67126720768601,0.000189950258549233,0.505908575750525
"CAMBIO",4,105,-4.01710558884425,5.57816105516241e-05,0.450118123807683
"DESEMPREGO",1,108,-2.01210667055603,0.0233607383859567,0.656112917416959
"DESEMPREGO",2,107,-0.903205738249205,0.184232347252291,0.871180485623461
"DESEMPREGO",4,105,-2.04726765054842,0.0215763729506455,0.607985460750272
