"variable","modelo","horizonte","R2","MSFE","MAE","OOS_R2"
"PRECOS12_IPCA12","OLS",1,0.6537,0.3287,0.4313,0.6537
"PRECOS12_IPCA12","Ridge-1SRR",1,0.3198,0.6458,0.5807,0.3198
"PRECOS12_IPCA12","TVP-2SRR",1,0.9977,0.0022,0.0306,0.9977
"PRECOS12_IPCA12","OLS",2,0.6369,0.3451,0.4591,0.6369
"PRECOS12_IPCA12","Ridge-1SRR",2,0.3115,0.6545,0.6009,0.3115
"PRECOS12_IPCA12","TVP-2SRR",2,0.9967,0.0031,0.0311,0.9967
"PRECOS12_IPCA12","OLS",3,0.5267,0.4526,0.515,0.5267
"PRECOS12_IPCA12","Ridge-1SRR",3,0.1905,0.7741,0.6515,0.1905
"PRECOS12_IPCA12","TVP-2SRR",3,0.4785,0.4987,0.5162,0.4785
"PRECOS12_IPCA12","OLS",4,0.4987,0.4849,0.5532,0.4987
"PRECOS12_IPCA12","Ridge-1SRR",4,0.0696,0.9,0.6943,0.0696
"PRECOS12_IPCA12","TVP-2SRR",4,0.3797,0.6,0.5944,0.3797
"PRECOS12_IPCA12","OLS",5,0.4904,0.4928,0.5465,0.4904
"PRECOS12_IPCA12","Ridge-1SRR",5,0.0522,0.9166,0.7032,0.0522
"PRECOS12_IPCA12","TVP-2SRR",5,0.6402,0.348,0.4403,0.6402
"PRECOS12_IPCA12","OLS",6,0.6056,0.3813,0.4819,0.6056
"PRECOS12_IPCA12","Ridge-1SRR",6,0.0058,0.9612,0.7168,0.0058
"PRECOS12_IPCA12","TVP-2SRR",6,0.9981,0.0018,0.0309,0.9981
"PRECOS12_IPCA12","OLS",7,0.5498,0.436,0.5215,0.5498
"PRECOS12_IPCA12","Ridge-1SRR",7,0.2011,0.7737,0.6474,0.2011
"PRECOS12_IPCA12","TVP-2SRR",7,0.4678,0.5154,0.5578,0.4678
"PRECOS12_IPCA12","OLS",8,0.5054,0.4791,0.5214,0.5054
"PRECOS12_IPCA12","Ridge-1SRR",8,0.0923,0.8793,0.6841,0.0923
"PRECOS12_IPCA12","TVP-2SRR",8,0.9542,0.0444,0.1581,0.9542
"PRECOS12_IPCA12","OLS",9,0.5195,0.4657,0.5261,0.5195
"PRECOS12_IPCA12","Ridge-1SRR",9,0.0603,0.9106,0.6989,0.0603
"PRECOS12_IPCA12","TVP-2SRR",9,0.4293,0.5531,0.5612,0.4293
"PRECOS12_IPCA12","OLS",10,0.4582,0.5264,0.5744,0.4582
"PRECOS12_IPCA12","Ridge-1SRR",10,0.0063,0.9656,0.7205,0.0063
"PRECOS12_IPCA12","TVP-2SRR",10,0.4979,0.4879,0.5342,0.4979
"PRECOS12_IPCA12","OLS",11,0.4648,0.5117,0.5504,0.4648
"PRECOS12_IPCA12","Ridge-1SRR",11,0.0057,0.9506,0.7153,0.0057
"PRECOS12_IPCA12","TVP-2SRR",11,0.3444,0.6268,0.5909,0.3444
"PRECOS12_IPCA12","OLS",12,0.5545,0.422,0.4998,0.5545
"PRECOS12_IPCA12","Ridge-1SRR",12,0.1296,0.8246,0.6622,0.1296
"PRECOS12_IPCA12","TVP-2SRR",12,0.5822,0.3957,0.4647,0.5822
