"variable","horizonte","media","mediana","dp","p10","p25","p75","p90","pct_pos"
"PRECOS12_IPCA12",1,-0.0062,0.0248,0.1457,-0.2614,-0.0669,0.0624,0.1716,0.6704
"PRECOS12_IPCA12",2,-0.1348,-0.1197,0.0966,-0.2891,-0.2028,-0.0579,-0.0411,0.0599
"PRECOS12_IPCA12",3,0.0229,0.0399,0.0974,-0.1362,-0.0409,0.1029,0.1176,0.588
"PRECOS12_IPCA12",4,0.0295,0.0474,0.0976,-0.1303,-0.034,0.1094,0.125,0.6292
"PRECOS12_IPCA12",5,0.085,0.0929,0.0912,-0.0293,0.0117,0.1516,0.1916,0.794
"PRECOS12_IPCA12",6,0.0737,0.0283,0.1014,-0.0297,-0.0054,0.1658,0.208,0.6629
"PRECOS12_IPCA12",7,0.0448,8e-04,0.1008,-0.058,-0.0342,0.1362,0.1783,0.5056
"PRECOS12_IPCA12",8,-0.0742,-0.096,0.125,-0.2352,-0.1811,0.0374,0.0718,0.3109
"PRECOS12_IPCA12",9,-0.0707,-0.0925,0.1253,-0.2325,-0.1778,0.0414,0.0759,0.3184
"PRECOS12_IPCA12",10,-0.0464,-0.0738,0.125,-0.2021,-0.1533,0.0606,0.0931,0.3446
"PRECOS12_IPCA12",11,-0.0105,-0.0376,0.1248,-0.1658,-0.1174,0.0963,0.1287,0.4045
"PRECOS12_IPCA12",12,-0.0774,-0.0977,0.12,-0.2234,-0.1842,0.0287,0.0617,0.2996
