"variable","horizonte","MSFE_rel_OLS","DM_vs_OLS","p_vs_OLS","sig_vs_OLS","MSFE_rel_Ridge","DM_vs_Ridge","p_vs_Ridge","sig_vs_Ridge"
"JPM366_EMBI366",1,1.0376,0.5674,0.7145,"",0.5961,-6.0285,0,"***"
"JPM366_EMBI366",2,1.1106,1.1506,0.8745,"",0.699,-4.5699,0,"***"
"JPM366_EMBI366",3,1.1592,1.3404,0.9094,"",0.6406,-5.749,0,"***"
"JPM366_EMBI366",4,0.9521,-0.4527,0.3256,"",0.5201,-5.4447,0,"***"
"JPM366_EMBI366",5,1.2154,2.0605,0.9798,"",0.7418,-4.0754,0,"***"
"JPM366_EMBI366",6,1.2482,2.1281,0.9829,"",0.7885,-3.5449,2e-04,"***"
"JPM366_EMBI366",7,1.2448,1.6724,0.9522,"",0.711,-3.834,1e-04,"***"
"JPM366_EMBI366",8,1.1455,1.3052,0.9035,"",0.6931,-3.7551,1e-04,"***"
"JPM366_EMBI366",9,1.2071,2.0775,0.9806,"",0.734,-3.0237,0.0014,"***"
"JPM366_EMBI366",10,1.241,2.3655,0.9906,"",0.799,-2.6481,0.0043,"***"
"JPM366_EMBI366",11,0.8954,-0.9721,0.1659,"",0.5034,-4.0897,0,"***"
"JPM366_EMBI366",12,1.0969,0.597,0.7245,"",0.6149,-4.0537,0,"***"
