"variable","horizonte","R2","MSFE","MAE"
"PRECOS12_IPCA12",1,0.9977,0.0022,0.0306
"PRECOS12_IPCA12",2,0.9967,0.0031,0.0311
"PRECOS12_IPCA12",3,0.4785,0.4987,0.5162
"PRECOS12_IPCA12",4,0.3797,0.6,0.5944
"PRECOS12_IPCA12",5,0.6402,0.348,0.4403
"PRECOS12_IPCA12",6,0.9981,0.0018,0.0309
"PRECOS12_IPCA12",7,0.4678,0.5154,0.5578
"PRECOS12_IPCA12",8,0.9542,0.0444,0.1581
"PRECOS12_IPCA12",9,0.4293,0.5531,0.5612
"PRECOS12_IPCA12",10,0.4979,0.4879,0.5342
"PRECOS12_IPCA12",11,0.3444,0.6268,0.5909
"PRECOS12_IPCA12",12,0.5822,0.3957,0.4647
"JPM366_EMBI366",1,0.4623,0.5477,0.5323
"JPM366_EMBI366",2,0.3059,0.7085,0.6294
"JPM366_EMBI366",3,0.3644,0.6481,0.5997
"JPM366_EMBI366",4,0.482,0.5285,0.5285
"JPM366_EMBI366",5,0.2616,0.7588,0.6493
"JPM366_EMBI366",6,0.2134,0.8081,0.6687
"JPM366_EMBI366",7,0.2969,0.7176,0.6316
"JPM366_EMBI366",8,0.3113,0.7037,0.6227
"JPM366_EMBI366",9,0.2696,0.7464,0.6401
"JPM366_EMBI366",10,0.2045,0.8123,0.6607
"JPM366_EMBI366",11,0.4984,0.5098,0.5235
"JPM366_EMBI366",12,0.3875,0.6192,0.5855
