"variable","horizon","n_eval","fail_windows","MSFE","RMSFE","MAE","MSFE_RW","MSFE_rel"
"CAMBIO",1,109,0,0.694800016510431,0.833546649270712,0.639455273061344,1.13464002337469,0.612352818688636
"CAMBIO",2,109,0,0.748048355093269,0.864897887090302,0.654656058113593,1.47585799422582,0.506856593263003
"CAMBIO",4,109,0,0.738485224260865,0.859351630161289,0.644759401730635,1.64879397872739,0.447894178283487
"DESEMPREGO",1,109,0,0.83724415699229,0.915010468241916,0.659822826796701,1.28305078341314,0.652541713715395
"DESEMPREGO",2,109,0,1.03289449516255,1.01631417148564,0.677921970048735,1.17309213216175,0.880488809740074
"DESEMPREGO",4,109,0,0.789810872552445,0.888713042861668,0.650013391975745,1.23172875207661,0.641221430628192
"IPCA",1,109,0,0.849637536275641,0.921757851214537,0.704191273272222,1.04002427633026,0.816940099969199
"IPCA",2,109,0,0.955598694817901,0.977547285208189,0.740156886811523,1.37134615818851,0.696832589723519
"IPCA",4,109,0,1.16151598262808,1.07773650890562,0.847376977514897,1.95187098020166,0.595078257943094
"PIB",1,109,0,0.961603357287786,0.980613765601823,0.760146538404672,2.44584759275278,0.393157513222445
"PIB",2,109,0,1.02948016033843,1.01463301756765,0.778873569815238,2.86420265173044,0.359429930600915
"PIB",4,109,0,1.07525520554323,1.03694513140437,0.811506339098923,1.86978939452174,0.575067549689608
"SELIC",1,109,0,0.368728849877551,0.607230475089608,0.461433530712728,0.982054420025764,0.375466819718481
"SELIC",2,109,0,0.270932899248988,0.520512150913874,0.400313928689923,0.478983742545688,0.565641117189159
"SELIC",4,109,0,0.354451249880288,0.595358085424468,0.451049297080822,0.763000351615678,0.464549261517017
