"variable","horizon","window","lag_y","K","tuning_msfe"
"PIB",1,1,1,2,0.670139105138876
"PIB",1,13,3,1,0.934464724231644
"PIB",1,25,3,1,0.946244875501435
"PIB",1,37,3,1,0.408380387002577
"PIB",1,49,1,1,1.40918060059194
"PIB",1,61,2,2,0.594116182843766
"PIB",1,73,3,3,1.11791893425565
"PIB",1,85,3,2,1.23575284461619
"PIB",1,97,3,1,0.864435254699612
"PIB",1,109,3,3,0.689888983969818
"PIB",2,1,2,1,0.804814564538049
"PIB",2,13,2,2,1.07244757697115
"PIB",2,25,3,3,0.982383470511721
"PIB",2,37,1,2,0.383874552664845
"PIB",2,49,1,1,1.45812628513292
"PIB",2,61,3,3,0.755110814550489
"PIB",2,73,3,3,1.34219515689528
"PIB",2,85,1,3,1.49317127180231
"PIB",2,97,3,2,0.82575038726327
"PIB",2,109,1,2,0.713709770373345
"PIB",4,1,1,2,0.801445193421871
"PIB",4,13,1,3,0.997263431326696
"PIB",4,25,1,2,1.1780274605328
"PIB",4,37,1,1,0.484251731295453
"PIB",4,49,2,3,1.60955654768668
"PIB",4,61,1,3,0.911515462864172
"PIB",4,73,1,2,1.51332783016245
"PIB",4,85,1,2,1.82819105686034
"PIB",4,97,1,1,0.865769433982145
"PIB",4,109,1,1,0.887614875120498
"IPCA",1,1,1,2,0.408749872524191
"IPCA",1,13,2,3,0.299841773107466
"IPCA",1,25,2,1,0.880143138564375
"IPCA",1,37,1,1,0.372846533429852
"IPCA",1,49,1,1,1.27043694132258
"IPCA",1,61,2,1,1.23547774988583
"IPCA",1,73,1,1,1.79919911302039
"IPCA",1,85,3,3,0.316550766553538
"IPCA",1,97,3,2,0.358982760052521
"IPCA",1,109,3,2,0.794222169832453
"IPCA",2,1,1,3,0.594554128163752
"IPCA",2,13,1,3,0.414179168864679
"IPCA",2,25,1,1,0.934630795906892
"IPCA",2,37,1,1,0.504112508988616
"IPCA",2,49,3,3,1.29854092920594
"IPCA",2,61,2,3,1.41400764062079
"IPCA",2,73,2,3,2.46433651820236
"IPCA",2,85,3,2,0.424530892925267
"IPCA",2,97,3,1,0.24855857310746
"IPCA",2,109,1,2,0.753445287745036
"IPCA",4,1,2,1,0.476561372302046
"IPCA",4,13,1,3,0.811253542207412
"IPCA",4,25,2,1,0.857433951742603
"IPCA",4,37,2,1,0.407865657204471
"IPCA",4,49,2,1,1.28120088064118
"IPCA",4,61,1,1,1.5613823608918
"IPCA",4,73,1,1,2.94534256145923
"IPCA",4,85,1,3,0.59121537168354
"IPCA",4,97,3,1,0.370799778799961
"IPCA",4,109,3,1,0.835978574337275
"SELIC",1,1,1,1,0.284177214129131
"SELIC",1,13,2,1,0.579538046620975
"SELIC",1,25,1,2,0.0955479557939679
"SELIC",1,37,1,2,0.108372194998941
"SELIC",1,49,2,2,0.0516623023735319
"SELIC",1,61,2,3,0.0556369593309816
"SELIC",1,73,1,1,0.427234330713167
"SELIC",1,85,2,1,0.808668586103373
"SELIC",1,97,1,3,0.26653084882423
"SELIC",1,109,1,3,0.464494527277943
"SELIC",2,1,1,2,0.251161540112005
"SELIC",2,13,1,3,0.492070128512586
"SELIC",2,25,1,2,0.045374648159869
"SELIC",2,37,1,2,0.0883946500872816
"SELIC",2,49,1,3,0.0675020597701375
"SELIC",2,61,1,3,0.0531450673079503
"SELIC",2,73,1,3,0.406109703709194
"SELIC",2,85,1,3,0.540869851900051
"SELIC",2,97,1,3,0.205069147494376
"SELIC",2,109,3,3,0.309448343729019
"SELIC",4,1,2,3,0.285396951379592
"SELIC",4,13,3,2,0.554302656658924
"SELIC",4,25,3,1,0.097228690953483
"SELIC",4,37,1,1,0.132767841693039
"SELIC",4,49,1,1,0.0717886542588401
"SELIC",4,61,1,2,0.05945936071959
"SELIC",4,73,2,3,0.4855277396655
"SELIC",4,85,3,3,0.788328105077598
"SELIC",4,97,1,1,0.295708360612129
"SELIC",4,109,1,2,0.357392155311022
"CAMBIO",1,1,2,2,0.883828549581315
"CAMBIO",1,13,1,1,0.400645203168597
"CAMBIO",1,25,1,3,1.00986678409191
"CAMBIO",1,37,1,3,0.536953767167824
"CAMBIO",1,49,1,1,1.56087355971794
"CAMBIO",1,61,1,1,0.727227772748652
"CAMBIO",1,73,3,1,0.930954773394031
"CAMBIO",1,85,2,1,0.351232891817152
"CAMBIO",1,97,2,1,0.184852499902211
"CAMBIO",1,109,1,2,0.382840567656608
"CAMBIO",2,1,3,3,0.861813109038979
"CAMBIO",2,13,1,1,0.417143584713432
"CAMBIO",2,25,1,1,1.08795509322566
"CAMBIO",2,37,2,3,0.561993817709883
"CAMBIO",2,49,1,1,1.98555364757714
"CAMBIO",2,61,2,3,0.874252835912189
"CAMBIO",2,73,1,1,1.02409861908741
"CAMBIO",2,85,1,3,0.257282295639843
"CAMBIO",2,97,3,1,0.196599077831697
"CAMBIO",2,109,3,3,0.379058469140767
"CAMBIO",4,1,3,2,0.860866056464517
"CAMBIO",4,13,1,2,0.419850333948939
"CAMBIO",4,25,2,3,0.512091507961275
"CAMBIO",4,37,3,3,0.662479390153521
"CAMBIO",4,49,2,1,2.35453752122551
