"var_name","H","M_spec","estimador","est_label","spec_label","DM_stat","p_value","DM_pval_onesided","sig_2s","sig_1s"
"CAMBIO",1,1,2,"2SRR","AR",1.89419108454291,0.0596214348240155,0.970189282587992,"*",""
"CAMBIO",1,2,2,"2SRR","AR+F",1.08546700170746,0.279002211608838,0.860498894195581,"",""
"CAMBIO",1,2,1,"Ridge","AR+F",-0.42388055576485,0.672101734892033,0.336050867446016,"",""
"CAMBIO",1,1,4,"MSRRd","AR",1.79137036803827,0.074745879443376,0.962627060278312,"*",""
"CAMBIO",1,1,3,"MSRRs","AR",1.57380708351158,0.117089271933048,0.941455364033476,"",""
"CAMBIO",1,2,4,"MSRRd","AR+F",0.0315615944928664,0.974852988770085,0.512573505614958,"",""
"CAMBIO",1,2,3,"MSRRs","AR+F",0.543630510734968,0.587292267352942,0.706353866323529,"",""
"IPCA",1,1,2,"2SRR","AR",1.88346320899111,0.0610674095918035,0.969466295204098,"*",""
"IPCA",1,4,1,"Ridge","AR+Pan",0.216332133182839,0.828946097410891,0.585526951294554,"",""
"IPCA",1,3,3,"MSRRs","AR+Tgt",0.247119835836289,0.805065225563984,0.597467387218008,"",""
"IPCA",1,1,3,"MSRRs","AR",1.95446945229977,0.0520189512543344,0.973990524372833,"*",""
"IPCA",1,1,4,"MSRRd","AR",2.03190025900854,0.0434667170141639,0.978266641492918,"**",""
"IPCA",1,3,4,"MSRRd","AR+Tgt",1.42221092953092,0.15653052604042,0.92173473697979,"",""
"IPCA",1,2,1,"Ridge","AR+F",1.68270445007829,0.0939697070680762,0.953015146465962,"*",""
"IPCA",1,2,3,"MSRRs","AR+F",1.60954288592506,0.109051639329099,0.94547418033545,"",""
"IPCA",1,2,2,"2SRR","AR+F",2.58813785903246,0.0103470628863969,0.994826468556802,"**",""
"IPCA",1,3,1,"Ridge","AR+Tgt",-0.412065555375617,0.680726165781374,0.340363082890687,"",""
"IPCA",1,2,4,"MSRRd","AR+F",0.332173569009037,0.74010093024721,0.629949534876395,"",""
"IPCA",1,4,4,"MSRRd","AR+Pan",1.7150196195501,0.0878751625009543,0.956062418749523,"*",""
"IPCA",1,4,2,"2SRR","AR+Pan",1.30128775729902,0.194642232265011,0.902678883867495,"",""
"IPCA",1,4,3,"MSRRs","AR+Pan",0.926780059966472,0.355141270688073,0.822429364655963,"",""
"IPCA",1,3,2,"2SRR","AR+Tgt",0.675774921658948,0.499952665675837,0.750023667162081,"",""
"SELIC",1,1,2,"2SRR","AR",-3.77038604077079,0.000213710547354165,0.000106855273677082,"***","†††"
"SELIC",1,3,2,"2SRR","AR+Tgt",-1.65606759681088,0.0992530605178739,0.0496265302589369,"*","††"
"SELIC",1,3,3,"MSRRs","AR+Tgt",0.939442750490806,0.348619937848715,0.825690031075643,"",""
"SELIC",1,1,3,"MSRRs","AR",-3.48763974317581,0.000597347271994308,0.000298673635997154,"***","†††"
"SELIC",1,1,4,"MSRRd","AR",-3.32389085004153,0.0010531369290343,0.000526568464517149,"***","†††"
"SELIC",1,4,1,"Ridge","AR+Pan",-3.02193228123095,0.00283499186664255,0.00141749593332127,"***","†††"
"SELIC",1,2,1,"Ridge","AR+F",-3.2599829975448,0.00130653358750118,0.000653266793750592,"***","†††"
"SELIC",1,4,2,"2SRR","AR+Pan",-1.97457444829296,0.0496722356815851,0.0248361178407926,"**","††"
"SELIC",1,2,2,"2SRR","AR+F",-2.59467215725115,0.0101587346120555,0.00507936730602776,"**","†††"
"SELIC",1,4,3,"MSRRs","AR+Pan",-0.336726371672181,0.736671030790533,0.368335515395267,"",""
"SELIC",1,2,4,"MSRRd","AR+F",-2.07580023238034,0.0391722632873682,0.0195861316436841,"**","††"
"SELIC",1,4,4,"MSRRd","AR+Pan",-1.68546877217821,0.0934346721085771,0.0467173360542886,"*","††"
"SELIC",1,2,3,"MSRRs","AR+F",-1.70151230371963,0.0903778738283534,0.0451889369141767,"*","††"
"SELIC",1,3,1,"Ridge","AR+Tgt",1.85127315364454,0.0655828293202289,0.967208585339886,"*",""
"SELIC",1,3,4,"MSRRd","AR+Tgt",-1.01519054610684,0.311223440706751,0.155611720353375,"",""
