"var_name","H","M_spec","estimador","est_label","spec_label","DM_stat","p_value","DM_pval_onesided","sig_2s","sig_1s"
"PIB",1,1,2,"2SRR","AR",-2.01979702745019,0.054703649364559,0.0273518246822795,"*","††"
"PIB",1,1,3,"MSRRs","AR",-1.65721662740937,0.110492185454973,0.0552460927274864,"","†"
"PIB",1,1,4,"MSRRd","AR",-0.725599810144477,0.475100728009566,0.237550364004783,"",""
"PIB",1,2,1,"Ridge","AR+F",-1.56428392321285,0.130842224512927,0.0654211122564637,"","†"
"PIB",1,2,2,"2SRR","AR+F",-1.34719639053037,0.190499987954205,0.0952499939771023,"","†"
"PIB",1,2,3,"MSRRs","AR+F",-1.81131680087236,0.0826266865245503,0.0413133432622751,"*","††"
"PIB",1,2,4,"MSRRd","AR+F",-2.19784042773578,0.0378487572207092,0.0189243786103546,"**","††"
"PIB",1,3,1,"Ridge","AR+Tgt",-0.591924461197899,0.559436572271528,0.279718286135764,"",""
"PIB",1,3,2,"2SRR","AR+Tgt",-2.23600824227621,0.03491216663435,0.017456083317175,"**","††"
"PIB",1,3,3,"MSRRs","AR+Tgt",-1.27950194804517,0.212952143333579,0.10647607166679,"",""
"PIB",1,3,4,"MSRRd","AR+Tgt",-1.22417526975221,0.232767855783566,0.116383927891783,"",""
"PIB",1,4,1,"Ridge","AR+Pan",-1.96749252343609,0.0607873828150302,0.0303936914075151,"*","††"
"PIB",1,4,2,"2SRR","AR+Pan",-1.47337557748047,0.153645469654579,0.0768227348272894,"","†"
"PIB",1,4,3,"MSRRs","AR+Pan",-1.84315293551377,0.0776918101182323,0.0388459050591161,"*","††"
"PIB",1,4,4,"MSRRd","AR+Pan",-1.65584493536607,0.110772061669973,0.0553860308349866,"","†"
"PIB",12,1,3,"MSRRs","AR",-0.196901858186916,0.844229327324088,0.422114663662044,"",""
"PIB",12,1,4,"MSRRd","AR",-0.794100078284546,0.428666578716522,0.214333289358261,"",""
"PIB",12,2,1,"Ridge","AR+F",0.22546295890331,0.82199332024581,0.589003339877095,"",""
"PIB",12,2,3,"MSRRs","AR+F",-0.779641006021768,0.437099795879468,0.218549897939734,"",""
"PIB",12,2,4,"MSRRd","AR+F",-1.13292060136322,0.259451152930619,0.12972557646531,"",""
"PIB",12,3,1,"Ridge","AR+Tgt",1.4497264721342,0.149679830833426,0.925160084583287,"",""
"PIB",12,3,3,"MSRRs","AR+Tgt",0.211425237920619,0.832905375003573,0.583547312498213,"",""
"PIB",12,3,4,"MSRRd","AR+Tgt",-0.776957868339501,0.438792848845482,0.219396424422741,"",""
"PIB",12,4,1,"Ridge","AR+Pan",0.907281822232052,0.366031853923208,0.816984073038396,"",""
"PIB",12,4,3,"MSRRs","AR+Pan",0.988124694351649,0.32503140216802,0.83748429891599,"",""
"PIB",12,4,4,"MSRRd","AR+Pan",-0.377799735195913,0.706230530312945,0.353115265156472,"",""
"PIB",3,1,2,"2SRR","AR",1.68190717871666,0.095124051372689,0.952437974313656,"*",""
"PIB",3,1,3,"MSRRs","AR",1.71286145753488,0.0892576547546672,0.955371172622666,"*",""
"PIB",3,1,4,"MSRRd","AR",0.392344865968616,0.695482453751456,0.652258773124272,"",""
"PIB",3,2,1,"Ridge","AR+F",-2.12923368207284,0.0352282959846479,0.017614147992324,"**","††"
"PIB",3,2,2,"2SRR","AR+F",-1.43043578364082,0.15512747389382,0.07756373694691,"","†"
"PIB",3,2,3,"MSRRs","AR+F",-1.47795096339641,0.141977041904506,0.070988520952253,"","†"
"PIB",3,2,4,"MSRRd","AR+F",-2.33027097817144,0.0214207155182064,0.0107103577591032,"**","††"
"PIB",3,3,1,"Ridge","AR+Tgt",1.04435342128427,0.29837006142573,0.850814969287135,"",""
"PIB",3,3,2,"2SRR","AR+Tgt",1.27670036868763,0.204113145879299,0.89794342706035,"",""
"PIB",3,3,3,"MSRRs","AR+Tgt",1.4796654370227,0.14151925863171,0.929240370684145,"",""
"PIB",3,3,4,"MSRRd","AR+Tgt",0.14670878191655,0.883602075585896,0.558198962207052,"",""
"PIB",3,4,1,"Ridge","AR+Pan",-1.45920132383769,0.147058832101808,0.073529416050904,"","†"
"PIB",3,4,2,"2SRR","AR+Pan",-0.732504073781456,0.465254519063064,0.232627259531532,"",""
"PIB",3,4,3,"MSRRs","AR+Pan",-0.180293814116825,0.857218622613767,0.428609311306884,"",""
"PIB",3,4,4,"MSRRd","AR+Pan",0.188489624848304,0.850803484249184,0.574598257875408,"",""
"PIB",6,1,3,"MSRRs","AR",0.196086621898119,0.844865961519007,0.577567019240497,"",""
"PIB",6,1,4,"MSRRd","AR",-0.208985803778594,0.834805031757584,0.417402515878792,"",""
"PIB",6,2,1,"Ridge","AR+F",-0.60147702541317,0.548629274907015,0.274314637453507,"",""
"PIB",6,2,3,"MSRRs","AR+F",-0.741182318712934,0.459995627412455,0.229997813706228,"",""
"PIB",6,2,4,"MSRRd","AR+F",-0.521999951789485,0.602616836426378,0.301308418213189,"",""
"PIB",6,3,1,"Ridge","AR+Tgt",0.811448776170157,0.41867548343587,0.790662258282065,"",""
"PIB",6,3,3,"MSRRs","AR+Tgt",0.494913952688326,0.621543773120792,0.689228113439604,"",""
"PIB",6,3,4,"MSRRd","AR+Tgt",1.341264993225,0.182305809967652,0.908847095016174,"",""
"PIB",6,4,1,"Ridge","AR+Pan",0.441001824453277,0.659985853654303,0.670007073172848,"",""
"PIB",6,4,3,"MSRRs","AR+Pan",0.409651439098776,0.682774201705875,0.658612899147062,"",""
"PIB",6,4,4,"MSRRd","AR+Pan",0.49645417306664,0.620460079762293,0.689769960118853,"",""
"IPCA",1,1,2,"2SRR","AR",0.964029486119744,0.336922649454394,0.831538675272803,"",""
"IPCA",1,1,3,"MSRRs","AR",0.962635645278041,0.337619083544225,0.831190458227888,"",""
"IPCA",1,1,4,"MSRRd","AR",1.1803535956862,0.240137246169847,0.879931376915077,"",""
"IPCA",1,2,1,"Ridge","AR+F",-0.305791100010308,0.760280642663185,0.380140321331593,"",""
"IPCA",1,2,2,"2SRR","AR+F",0.945388012529862,0.346314274387341,0.826842862806329,"",""
"IPCA",1,2,3,"MSRRs","AR+F",-0.30560268750972,0.760423768263512,0.380211884131756,"",""
"IPCA",1,2,4,"MSRRd","AR+F",-0.857195452683543,0.393003952220982,0.196501976110491,"",""
"IPCA",1,3,1,"Ridge","AR+Tgt",-0.65831698890953,0.51156479050567,0.255782395252835,"",""
"IPCA",1,3,2,"2SRR","AR+Tgt",-0.463770419733308,0.643631921848254,0.321815960924127,"",""
"IPCA",1,3,3,"MSRRs","AR+Tgt",-0.0806176041171898,0.935877092175259,0.467938546087629,"",""
"IPCA",1,3,4,"MSRRd","AR+Tgt",-0.382709868242482,0.702600845955351,0.351300422977675,"",""
"IPCA",1,4,1,"Ridge","AR+Pan",-0.442051876766879,0.659227929194671,0.329613964597335,"",""
"IPCA",1,4,2,"2SRR","AR+Pan",-0.910111832537625,0.364543567003606,0.182271783501803,"",""
"IPCA",1,4,3,"MSRRs","AR+Pan",-0.437011305108624,0.662869415271173,0.331434707635586,"",""
"IPCA",1,4,4,"MSRRd","AR+Pan",0.192510049119507,0.847670844948481,0.576164577525759,"",""
"IPCA",12,1,3,"MSRRs","AR",1.12719938100475,0.261852352328145,0.869073823835927,"",""
"IPCA",12,1,4,"MSRRd","AR",-0.969449342755722,0.334223505953762,0.167111752976881,"",""
"IPCA",12,2,1,"Ridge","AR+F",1.3923339066521,0.166333403497214,0.916833298251393,"",""
"IPCA",12,2,3,"MSRRs","AR+F",1.71818969229275,0.0882782493374527,0.955860875331274,"*",""
"IPCA",12,2,4,"MSRRd","AR+F",0.245504696238485,0.806474837118448,0.596762581440776,"",""
"IPCA",12,3,1,"Ridge","AR+Tgt",0.816532167867891,0.415774449586542,0.792112775206729,"",""
"IPCA",12,3,3,"MSRRs","AR+Tgt",1.83626543273726,0.0687332107216307,0.965633394639185,"*",""
"IPCA",12,3,4,"MSRRd","AR+Tgt",0.25394886284151,0.799959089670051,0.600020455164975,"",""
"IPCA",12,4,1,"Ridge","AR+Pan",0.488518940365306,0.62605215116408,0.68697392441796,"",""
"IPCA",12,4,3,"MSRRs","AR+Pan",2.08494478465136,0.0391427019021608,0.98042864904892,"**",""
"IPCA",12,4,4,"MSRRd","AR+Pan",0.860901288523718,0.390967489422483,0.804516255288758,"",""
"IPCA",3,1,2,"2SRR","AR",0.931369812716662,0.353486786965265,0.823256606517367,"",""
"IPCA",3,1,3,"MSRRs","AR",1.53109955697077,0.128312712151223,0.935843643924389,"",""
"IPCA",3,1,4,"MSRRd","AR",1.66235308498672,0.0989884023255442,0.950505798837228,"*",""
"IPCA",3,2,1,"Ridge","AR+F",-0.0601863266624715,0.9521049165635,0.47605245828175,"",""
"IPCA",3,2,2,"2SRR","AR+F",1.42895300477876,0.155552433746543,0.922223783126728,"",""
"IPCA",3,2,3,"MSRRs","AR+F",1.59553248159792,0.113159457169105,0.943420271415448,"",""
"IPCA",3,2,4,"MSRRd","AR+F",0.69274177090207,0.489777495418027,0.755111252290987,"",""
"IPCA",3,3,1,"Ridge","AR+Tgt",-0.0955954514702543,0.923997449264896,0.461998724632448,"",""
"IPCA",3,3,2,"2SRR","AR+Tgt",1.51271259331124,0.132917877976272,0.933541061011864,"",""
"IPCA",3,3,3,"MSRRs","AR+Tgt",1.95101630300142,0.0533288455207962,0.973335577239602,"*",""
"IPCA",3,3,4,"MSRRd","AR+Tgt",1.16547203622069,0.246083119182404,0.876958440408798,"",""
"IPCA",3,4,1,"Ridge","AR+Pan",0.250570733950382,0.802564082148822,0.598717958925589,"",""
"IPCA",3,4,2,"2SRR","AR+Pan",1.24737501398678,0.214709274247405,0.892645362876298,"",""
"IPCA",3,4,3,"MSRRs","AR+Pan",2.25131627662234,0.026140515170061,0.986929742414969,"**",""
"IPCA",3,4,4,"MSRRd","AR+Pan",1.67697952753738,0.0960861539649149,0.951956923017543,"*",""
"IPCA",6,1,3,"MSRRs","AR",1.04611827311642,0.297557875401567,0.851221062299216,"",""
"IPCA",6,1,4,"MSRRd","AR",2.25932460936938,0.0256234814278502,0.987188259286075,"**",""
"IPCA",6,2,1,"Ridge","AR+F",0.838661669086,0.403286093302865,0.798356953348568,"",""
"IPCA",6,2,3,"MSRRs","AR+F",1.61906170332151,0.107995316673116,0.946002341663442,"",""
