"t","intercept","y_lag1","y_lag2","F1_lag1","F2_lag1","F3_lag1","F4_lag1","F5_lag1","F6_lag1","F7_lag1","F8_lag1","F1_lag2","F2_lag2","F3_lag2","F4_lag2","F5_lag2","F6_lag2","F7_lag2","F8_lag2","date"
474,0.465980434442587,-0.493133716559063,-0.105607671796495,-0.0200897049955595,0.048925848352624,0.00565916584641842,-0.0242220266635112,-0.02517977661787,0.000633614892841653,-0.00722367558777886,-0.00549029197196828,0.00226855535218339,0.00743249157466706,0.00137895333290777,0.001474952429703,0.0119812233610036,0.00318528892685458,-0.00818152313713606,-0.000555307699354187,1999-06-01
475,0.462374533299455,-0.48151070109374,-0.147012780118677,-0.0206081794696682,0.0488741674534648,0.0058237126956539,-0.0253683093675428,-0.023844963916868,0.00105335505087231,-0.00797754883440346,-0.00636176375190093,0.00272231846540083,0.0063581842747854,0.00220512352278523,0.00237142446958843,0.0132640031526086,0.00250359021992655,-0.00775978511038224,-0.000174576518695023,1999-07-01
476,0.468191672515074,-0.490330852062978,-0.158841109408913,-0.0206546650781974,0.0485015474671627,0.00603936201049562,-0.0227464628645288,-0.0251866140453264,0.000590028438497722,-0.00859570254546542,-0.00286109358394804,0.0028348361715816,0.00642870909464656,0.00293932558361375,0.00304182182473201,0.0120410742038565,0.00283434659901072,-0.00742879966968725,0.000393620662215629,1999-08-01
477,0.46811147246705,-0.487641363556465,-0.1592663169655,-0.0204893780179186,0.048451894278483,0.00587835111585856,-0.0223988162104702,-0.0255299417297558,0.000310871306201519,-0.00840344931406544,-0.00233730780931769,0.00265441891411458,0.00632160938566287,0.00325973186043318,0.0030460349266166,0.0120861393502757,0.00297564153196259,-0.00757653339093936,0.000393469518132897,1999-09-01
478,0.469804758416246,-0.482304184645507,-0.131216220720078,-0.0203162346746766,0.0488674895751965,0.00586298976618588,-0.0214201305268175,-0.0270914154503158,0.00210658673114493,-0.00765522440713534,-0.000849212531345769,0.00288024356078462,0.00674472851254108,0.00140761447457947,0.00279782236388618,0.0121838954596236,0.00319724737745786,-0.00722404965660146,-0.000697537196632978,1999-10-01
479,0.467235330303729,-0.493712973871775,-0.134706965039545,-0.0199187948039759,0.0485383242138521,0.00646006946817952,-0.021881566401404,-0.0265056397829505,0.000910599956574764,-0.00874320994318048,-0.00137475014414413,0.00269188194704722,0.00639843861088048,0.00131584611970715,0.0024384843426543,0.0130919688040714,0.00295837104149032,-0.00788024422496181,-0.00150436255918279,1999-11-01
480,0.467773406513945,-0.494946273031195,-0.132554489529077,-0.0198310435954376,0.0485123347005766,0.00655282885294275,-0.0218428720992923,-0.0264576039064863,0.00101657542321639,-0.00861646584165543,-0.00173801502197917,0.00258533198816647,0.00655355867356717,0.00110035145320961,0.00254985658868026,0.0129575687588103,0.00308834085628793,-0.00753461915110318,-0.00126171593415814,1999-12-01
481,0.469064328492111,-0.493395364475977,-0.130974554453516,-0.0198056688815025,0.0484613242912533,0.00647758282339544,-0.0218626124330102,-0.0265945915311536,0.000468500785009861,-0.0089751948415887,-0.00212796301192819,0.00288111546253014,0.00666423585343404,0.00146538361715494,0.00242108136570594,0.0129696840377723,0.00306248147768285,-0.00721426996768916,-0.00135799786466173,2000-01-01
482,0.468924903650272,-0.485395653788073,-0.129568299907575,-0.0194726949986672,0.0485011648651264,0.00637410172023665,-0.0216612257214514,-0.0270740579447252,-3.0608436012578e-05,-0.00927768391493929,-0.000533929698120795,0.00288312251876529,0.00628324379860437,0.00159188560511645,0.00225374221631283,0.0134845989510442,0.00344987199271526,-0.00793856637342807,-0.00244780629155354,2000-02-01
483,0.471724744474148,-0.456659199265629,-0.121374425037872,-0.0190821218619189,0.0487575444834389,0.00534983514679276,-0.0177667599067678,-0.0269250413216209,-0.00131991059657666,-0.0077270158543332,-0.00383521801515797,0.00318986664738578,0.00717786392085183,0.00193694930788855,0.00142160608460873,0.0113466794112559,0.00175093191467854,-0.00798118073667404,-0.00469610987930021,2000-03-01
484,0.46476376094169,-0.411827868962388,-0.100971459910741,-0.0193557978042256,0.049360012566108,0.00533561809297211,-0.0142384825634031,-0.0266150981686904,0.00384543048522193,-0.00696342000237707,0.00377495481474193,0.00322584896809166,0.00698634840366135,0.000953137750433429,0.00453716245091478,0.0115989058484415,0.00173843375155741,-0.00761936332117947,-0.00763531972128444,2000-04-01
485,0.465815555330614,-0.456459215346828,-0.148151674376693,-0.0187381803883304,0.048305150333281,0.00464911141825094,-0.0102869891783299,-0.0234099101927966,0.00204586057332951,-0.0038784423259163,0.00797872729855123,0.00233265971876091,0.00609456874126551,0.00186442021291936,0.00193158964960787,0.0101876007352533,-0.000940990232195683,-0.00690670403663894,-0.0161031526034962,2000-05-01
486,0.468211923034541,-0.461671290134466,-0.124658881129352,-0.0187309734521282,0.0478238942209499,0.00327357079452834,-0.00977405316166031,-0.0210057028102437,0.0001286302914794,-0.00182003687407292,0.00733397605794812,0.00228328071345045,0.00675074268986035,0.00204464050726865,0.00127966015700974,0.00750962712421523,-0.00028599091556509,-0.00829839512146526,-0.0173240023897757,2000-06-01
487,0.467050020158093,-0.446296706781694,-0.13702049785776,-0.0190910227253366,0.0483375280127884,0.00554469754227136,-0.00651634011321396,-0.0187048887171906,-0.000412907828297644,-0.00316652399056999,0.0122112240151837,0.0024581380547662,0.00539946410101123,0.00145184820494904,0.000965412095517398,0.00942356309091915,0.000837524397249626,-0.00759694668030359,-0.0189213149874673,2000-07-01
488,0.466448866027469,-0.442801045856163,-0.133982478476808,-0.018857251624691,0.0486040896433237,0.0053243960474981,-0.0068904685519314,-0.0186979762204168,-0.000633066064036856,-0.00285725214366001,0.0126089550783355,0.00227088849128237,0.00537577253176096,0.00207383559061327,0.00160046498828356,0.0100793972811342,0.000945699972520673,-0.00788553678987706,-0.0177431362047751,2000-08-01
489,0.467428035041384,-0.449559805219796,-0.142296809662287,-0.018167828218615,0.0488772358613823,0.00483746176359242,-0.00727781372764261,-0.0196574556262744,-0.000472225974368485,-0.00378558636681414,0.0133419141201486,0.00224874006675146,0.00495445853800895,0.00311637385394851,0.00190374173768356,0.0108545846361996,0.00101317744285222,-0.0096086277066202,-0.0193610546205179,2000-09-01
490,0.462753964898669,-0.456027880332615,-0.0979325241136233,-0.0194999448972797,0.0478356296396451,0.00405241148518792,-0.00481626148022896,-0.0161771402347221,-0.0029423112706494,-0.00420459925207022,0.0145332248269251,0.000586707498157341,0.00461199513971509,0.00516546003293771,0.00451368965310658,0.0137191442865856,-0.00295194618834489,-0.00588641076645971,-0.0189932458966786,2000-10-01
491,0.460701209218895,-0.475160321432917,-0.095212420141888,-0.0196411095650142,0.0468797972393699,0.00332802013757161,-0.00355825398877299,-0.0143978896769733,-0.00320414901413208,-0.00447408948247784,0.0148166991265993,0.00122493642919546,0.00551380803210788,0.00618502079760167,0.00432201987523872,0.0114658930563348,-0.000596750394707808,-0.00597523632295495,-0.0204054973628454,2000-11-01
