"regressor","sign_changes","pct"
"F7_lag2",47,15.112540192926
"F7_lag1",38,12.2186495176849
"F6_lag2",36,11.5755627009646
"F8_lag1",29,9.32475884244373
"F6_lag1",25,8.03858520900322
"F8_lag2",25,8.03858520900322
"F3_lag1",17,5.46623794212219
"F2_lag2",14,4.5016077170418
"F5_lag2",14,4.5016077170418
"F5_lag1",13,4.18006430868167
"F1_lag1",12,3.85852090032154
"F3_lag2",12,3.85852090032154
"F4_lag1",10,3.21543408360129
"F4_lag2",10,3.21543408360129
"F1_lag2",7,2.2508038585209
"F2_lag1",6,1.92926045016077
"intercept",0,0
"y_lag1",0,0
"y_lag2",0,0
