"Target","Horizon","AR","Ridge","TVP-Ridge","RF"
"GDP",1,1,0.4854,0.3323,0.4027
"GDP",3,1,0.6682,0.3939,0.5001
"GDP",6,1,0.8462,0.3736,0.5931
"GDP",12,1,0.5804,0.4458,0.5149
"INFLATION",1,1,0.5143,0.4699,0.463
"INFLATION",3,1,0.9115,0.4595,0.5142
"INFLATION",6,1,0.7798,0.2517,0.5555
"INFLATION",12,1,0.614,0.3826,0.4179
"IR",1,1,0.6201,0.3289,0.4655
"IR",3,1,0.6569,0.4151,0.4578
"IR",6,1,0.6732,0.394,0.4074
"IR",12,1,0.8052,0.4617,0.7372
"SPREAD",1,1,0.5405,0.2699,0.3289
"SPREAD",3,1,0.5547,0.3109,0.4799
"SPREAD",6,1,0.6072,0.4121,0.6168
"SPREAD",12,1,0.5256,0.3275,0.4558
