"Target","Horizon","DM_pval_Ridge","DM_stars_Ridge","DM_pval_TVP-Ridge","DM_stars_TVP-Ridge","DM_pval_RF","DM_stars_RF"
"GDP",1,0.0018,"***",0,"***",0,"***"
"GDP",3,0.0793,"*",2e-04,"***",0.0019,"***"
"GDP",6,0.3768,"",0,"***",0.0077,"***"
"GDP",12,0.0014,"***",0,"***",0.0025,"***"
"INFLATION",1,0.0015,"***",7e-04,"***",0.0012,"***"
"INFLATION",3,0.5183,"",8e-04,"***",0.001,"***"
"INFLATION",6,0.4256,"",0.0011,"***",0.0294,"**"
"INFLATION",12,0.0181,"**",0,"***",0,"***"
"IR",1,0.0258,"**",0,"***",5e-04,"***"
"IR",3,0.1083,"",0.0018,"***",0.0037,"***"
"IR",6,0.1455,"",0.0058,"***",8e-04,"***"
"IR",12,0.3482,"",1e-04,"***",0.171,""
"SPREAD",1,0.0011,"***",0,"***",0,"***"
"SPREAD",3,0.0023,"***",0,"***",0.0036,"***"
"SPREAD",6,0.0101,"**",0,"***",0.0396,"**"
"SPREAD",12,0.02,"**",0,"***",0.0021,"***"
