"Predictor","Variancia","Media_Abs"
"7",5937781.366223,2327.234519
"8",3307131.511715,1434.774146
"9",2552741.013984,1461.260925
"14",2459801.254976,1651.65843
"10",2292028.588458,1356.396638
"13",1997660.507268,1297.302942
"12",1972045.016168,1148.866595
"5",1892316.821865,1186.089709
"6",1603617.760657,925.259375
"11",1333080.316568,1083.347982
"19",1320963.07407,955.473267
"15",1256240.341411,1015.96837
"16",1229347.086338,924.006986
"24",1108648.609437,919.895359
"4",1098049.56311,849.428587
"26",1081054.604763,936.557564
"30",1067318.458011,783.949622
"17",1002218.85039,854.81838
"27",999919.769788,832.715834
"21",969777.408618,819.53889
"20",956634.861581,846.809281
"18",926784.874299,763.853107
"2",848197.671617,621.035447
"23",782271.75511,828.074318
"25",761171.265421,726.427835
"3",724407.673929,624.661863
"31",714577.612646,753.045721
"28",707534.588238,747.589613
"32",693124.201651,674.790498
"29",680521.774682,783.825656
"33",652535.925476,626.143599
"36",587284.57292,608.962111
"22",565243.711615,620.040108
"35",481938.56651,635.094479
"1",478942.808171,584.906169
"34",459555.630164,595.936035
"38",454427.048675,567.301037
"39",341252.560236,467.431882
"40",328584.957127,470.525185
"37",323973.540481,476.022314
"41",64.500312,4.845439
