"t","beta0","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18"
474,3.33016453441416,-1.85612918598839,-1.88443815634134,-0.054398923413131,0.181225419457947,-0.0538516231298115,-0.0771136644207748,-0.0789583125726544,-0.01369905611014,-0.00632093383293489,0.016186031477901,-0.0577790362529687,0.135095227021933,-0.0755698929584399,-0.0326830295134323,0.00483001933910735,-0.0563726993020693,-0.0406967758017642,-0.0316059541225128
475,3.3539655052332,-1.79355790944667,-1.76014597327184,-0.0609612002076632,0.177532349345363,-0.065263743735348,-0.0663335113164091,-0.0752183007109104,-0.0226644522741419,-0.0196350391037536,0.0303060695971257,-0.058532631676992,0.134649846630649,-0.0769115075284336,-0.0321744135175219,-0.00155847196220701,-0.0497388797972899,-0.0434240906430173,-0.00586808994184503
476,3.35282706130406,-1.94434741809554,-1.82444936676982,-0.0578978030046075,0.172606434612994,-0.0554157146103715,-0.072971782171249,-0.0545680723281133,-0.0175692496037398,-0.0177171746910353,0.0239380166040443,-0.0539407595395559,0.140122339586082,-0.060542477199245,-0.0434976476302427,-0.00944154078037706,-0.0448303208528682,-0.0309283426288236,-0.0201589229104544
477,3.36892736067852,-1.96831333396881,-1.79663990490207,-0.0567963957515673,0.175092633445423,-0.0516554413017893,-0.0750223473596957,-0.0509935036900161,-0.0195473906126306,-0.0122906312073923,0.0278980545018655,-0.0558581593587838,0.139920386897464,-0.0617812959284801,-0.0425725052251081,-0.0118650536732036,-0.0471990418034109,-0.0305654435935192,-0.0197281539175649
478,3.46246344564516,-1.97166186319037,-2.06106474121578,-0.0549888427092932,0.16433243770273,-0.0706368128486136,-0.0885333962826524,-0.0524858162143732,-0.00699334659874464,-0.0105123308938972,0.0585911885088233,-0.0504775721727124,0.153102756000791,-0.044455378620687,-0.0620941791710874,0.00537720545019458,-0.0641113214260387,-0.00353761356319991,0.00991292646867887
479,3.45840286291695,-1.97234459617076,-2.05142177261546,-0.0555338886134369,0.163789996094338,-0.0698271188315881,-0.0884121023173069,-0.0529958720936496,-0.00693397147063759,-0.0106693841562438,0.0573524057502297,-0.0503106290007567,0.153095173734192,-0.0441581189942774,-0.0615451373974586,0.00476042612603733,-0.0648235066132582,-0.00296285656818775,0.00958547889200908
480,3.51109125256002,-1.89934552693306,-1.8783072114245,-0.0505597914722353,0.152855109591106,-0.0582253449069254,-0.0772467534427197,-0.0746369485117689,-0.0502581041775327,-0.0117753824952363,0.0260855086991474,-0.0432725212213185,0.162339018343999,-0.0668549018439919,-0.0717463900100807,-0.0150960907074648,-0.0659229934124257,0.0174554339459537,0.0330649705033752
481,3.51488142040773,-1.82103279835715,-1.80339851814651,-0.0404268239186156,0.14712062102514,-0.0889360757042567,-0.0745127059539803,-0.0798162015074521,-0.0503505523592123,-0.00938842305634459,0.0335466334594068,-0.0399985631551732,0.157549689142217,-0.0617123291598141,-0.0647654364934179,-0.0411160600132902,-0.107601029108211,0.0130144304130124,0.00988001446425348
482,3.5153065736757,-1.80922408546577,-1.69097884569901,-0.0342669960710507,0.145864844797634,-0.089095374336288,-0.0645888511111702,-0.106052949029833,-0.0502212247633394,0.00473603784344145,0.0544561067106174,-0.0257903956436207,0.152739256560954,-0.0700783458417085,-0.0610635627004163,-0.0389347184569297,-0.104191574595395,0.00955785653348267,0.0220919464694282
483,3.61064291770562,-2.08686621900159,-1.86889242900984,-0.0124897114795134,0.127920817533959,-0.0616585583671017,-0.0374640804003869,-0.0865572529195869,-0.042859855886138,-0.0471887743155493,0.109389258600364,-0.0254861525760669,0.150374852395842,-0.0890246872335764,-0.0575197163519597,-0.0748018415921693,-0.0978718947832692,0.0133997155927528,0.0528813582785005
