"","AdaElNET","AdaLASSO","AR","AR_BIC","Bagging","CSR","ElNET","Factor","LASSO","RF","Ridge","T.Factor"
"h=1",0.186,0.0912,0.4679,0.5296,0.8335,0.0607,0.0241,0.251,0.0271,0.2331,0.3752,0.158
"h=2",0.3109,0.3502,0.5889,0.6078,0.1651,0.1747,0.0802,0.6741,0.0849,0.1759,0.6864,0.2944
"h=3",0.5881,0.4461,0.7653,0.8376,0.2602,0.3232,0.1079,0.3399,0.1307,0.1728,0.7365,0.7843
"h=4",0.2988,0.3295,0.5548,0.4611,0.0729,0.3316,0.8009,0.228,0.8998,0.8222,0.1248,0.5123
"h=5",0.458,0.5601,0.9141,0.8227,0.0945,0.3843,0.8426,0.5528,0.733,0.539,0.5465,0.7203
"h=6",0.5586,0.5801,0.5152,0.5741,0.1376,0.8363,0.2501,0.5674,0.2534,0.1641,0.5753,0.424
"h=7",0.4475,0.4536,0.3596,0.3908,0.4615,0.6692,0.299,0.4446,0.3056,0.2082,0.6501,0.743
"h=8",0.6871,0.6772,0.2373,0.2805,0.2024,0.6356,0.158,0.0178,0.1634,0.1764,0.4209,0.4782
"h=9",0.6387,0.5786,0.2091,0.2173,0.0922,0.9952,0.1723,0.4876,0.1495,0.1762,0.1294,0.2846
"h=10",0.4652,0.3965,0.0932,0.0934,0.0542,0.4491,0.1435,0.4373,0.1568,0.1448,0.0972,0.1448
"h=11",0.7265,0.857,0.2161,0.3558,0.1786,0.8436,0.2602,0.8188,0.2935,0.4271,0.0418,0.2937
"h=12",0.6714,0.8227,0.3591,0.436,0.0977,0.7674,0.2358,0.1065,0.3185,0.7643,0.0657,0.4842
