"","2SRR","AdaElNET","AdaLASSO","AR","AR_BIC","Bagging","CSR","ElNET","Factor","LASSO","RF","Ridge","T.Factor"
"h=1",0.9765,1.2035,1.2022,1.165,1.1632,1.3894,1.1802,1.1619,1.2803,1.1702,1.1528,1.1636,1.2494
"h=2",0.872,0.9472,0.9466,0.9242,0.9152,1.2717,0.8909,0.8817,0.9773,0.8808,0.8895,0.9818,0.9164
"h=3",0.9445,0.8796,0.8832,0.8637,0.8615,1.098,0.8415,0.8218,0.9575,0.8278,0.869,0.9222,0.8958
"h=4",0.9174,0.9128,0.9083,0.8807,0.8918,1.1844,0.9194,0.8738,0.9252,0.8777,0.8945,0.9598,0.8969
"h=5",0.8429,0.8804,0.8843,0.8594,0.8603,1.2479,0.9353,0.8583,0.9641,0.865,0.854,0.949,0.8659
"h=6",0.8042,0.9121,0.9107,0.9145,0.9101,1.1925,0.9225,0.8742,0.9547,0.869,0.9065,0.9656,0.9006
"h=7",0.8384,0.8688,0.8708,0.8699,0.8631,1.027,0.9171,0.8437,0.9543,0.8363,0.8683,0.9136,0.9149
"h=8",0.857,0.9415,0.9451,0.9129,0.9069,1.2656,1.0571,0.9447,1.0794,0.9216,0.8856,1.0514,0.9988
"h=9",0.8314,0.8147,0.8252,0.7822,0.7801,1.2616,0.8536,0.7999,0.8998,0.7842,0.7693,0.9011,0.7735
"h=10",0.8782,0.9445,0.9481,0.9418,0.9538,1.4308,0.9417,0.908,0.9868,0.9127,0.9141,1.0153,0.9572
"h=11",0.8652,0.9033,0.9191,0.8816,0.9013,1.4794,0.9283,0.8639,0.9451,0.8675,0.89,0.9787,0.9106
"h=12",0.8521,0.9546,0.971,0.8511,0.8499,1.2682,1.0333,0.9317,1.0278,0.9437,0.9782,1.0435,0.9653
"acc3",0.6689,0.7284,0.7299,0.7777,0.7649,0.8486,0.7093,0.6849,0.8427,0.6865,0.6643,0.7344,0.7888
"acc6",0.5349,0.5269,0.523,0.5846,0.5723,0.6688,0.5363,0.4734,0.637,0.4775,0.4793,0.5114,0.58
"acc12",0.3327,0.3102,0.3016,0.3955,0.4043,0.2952,0.3957,0.2315,0.7787,0.2335,0.3552,0.2556,0.4295
