"","2SRR","AdaElNET","AdaLASSO","AR","AR_BIC","Bagging","CSR","ElNET","Factor","LASSO","RF","Ridge","T.Factor"
"h=1",0.9434,0.8777,0.8616,0.9048,0.9102,0.9317,0.8473,0.8318,0.8837,0.8323,0.8816,0.9047,0.8735
"h=2",0.836,0.7916,0.7947,0.8047,0.8064,0.9848,0.76,0.7459,0.8176,0.7486,0.7728,0.8222,0.7906
"h=3",0.8032,0.7869,0.7802,0.7907,0.7945,0.8962,0.7666,0.7468,0.8486,0.7506,0.7554,0.7976,0.7953
"h=4",0.7816,0.8039,0.8034,0.8029,0.8081,1.0191,0.804,0.7757,0.8204,0.7786,0.7879,0.8261,0.7982
"h=5",0.7877,0.8097,0.8047,0.7921,0.7968,1.0353,0.8118,0.7814,0.8066,0.7765,0.7662,0.8056,0.7754
"h=6",0.819,0.7949,0.7984,0.7934,0.7969,0.9585,0.8135,0.7762,0.8351,0.7748,0.7535,0.8023,0.7888
"h=7",0.8379,0.7998,0.8034,0.7945,0.7972,0.8866,0.8238,0.7892,0.8622,0.7864,0.767,0.8241,0.8272
"h=8",0.8144,0.7993,0.7995,0.7737,0.7774,1.1088,0.8062,0.7754,0.8722,0.7622,0.7537,0.8374,0.8363
"h=9",0.7972,0.7842,0.7829,0.7672,0.7674,1.0674,0.797,0.7593,0.8242,0.7505,0.7403,0.8257,0.769
"h=10",0.8843,0.8528,0.8474,0.8099,0.8104,1.1416,0.8515,0.8158,0.8528,0.8158,0.7905,0.913,0.8238
"h=11",0.8519,0.8402,0.8463,0.8136,0.8251,1.3099,0.848,0.8169,0.8459,0.8206,0.8188,0.8937,0.8254
"h=12",0.7619,0.7471,0.7542,0.7309,0.7355,1.0113,0.7717,0.7193,0.8107,0.7278,0.7739,0.7903,0.786
"acc3",0.9205,0.8405,0.8319,0.9285,0.9399,0.948,0.8549,0.8349,0.94,0.8331,0.8631,0.8879,0.91
"acc6",1.0581,1.0285,1.0133,1.0949,1.1136,1.185,1.0192,1.0263,1.1317,1.0204,1.0145,1.0263,1.089
"acc12",0.8013,0.8201,0.8154,0.8583,0.8674,0.8203,0.859,0.7998,1.1009,0.7998,0.852,0.8053,0.8766
