"h","periodo","modelo","rmsfe"
1,"Full","2SRR",0.943378867172881
2,"Full","2SRR",0.835977619126821
3,"Full","2SRR",0.803171602342631
4,"Full","2SRR",0.781625953009646
5,"Full","2SRR",0.787698462441978
6,"Full","2SRR",0.818996244763179
7,"Full","2SRR",0.837893276348808
8,"Full","2SRR",0.814363633074835
9,"Full","2SRR",0.797217560752691
10,"Full","2SRR",0.884284473245475
11,"Full","2SRR",0.851946759720853
12,"Full","2SRR",0.761883841503053
1,"Full","Ridge",0.904665101472669
2,"Full","Ridge",0.822194879421688
3,"Full","Ridge",0.797579366092238
4,"Full","Ridge",0.826078243929209
5,"Full","Ridge",0.805625112676733
6,"Full","Ridge",0.802293391332835
7,"Full","Ridge",0.824090362466635
8,"Full","Ridge",0.837352960830645
9,"Full","Ridge",0.825736017735208
10,"Full","Ridge",0.912998881700204
11,"Full","Ridge",0.893660799078353
12,"Full","Ridge",0.790302393667991
1,"Full","LASSO",0.832267360439718
2,"Full","LASSO",0.7485614078103
3,"Full","LASSO",0.750612860248453
4,"Full","LASSO",0.77859236667057
5,"Full","LASSO",0.77650752785634
6,"Full","LASSO",0.774778708505551
7,"Full","LASSO",0.786427628011019
8,"Full","LASSO",0.762173446838289
9,"Full","LASSO",0.750485548015908
10,"Full","LASSO",0.815783270595379
11,"Full","LASSO",0.820608173223119
12,"Full","LASSO",0.727844737709792
1,"Full","RF",0.881597550678265
2,"Full","RF",0.772771639978534
3,"Full","RF",0.755392088425964
4,"Full","RF",0.787920620265839
5,"Full","RF",0.766182118871561
6,"Full","RF",0.753469901533197
7,"Full","RF",0.76701473412243
8,"Full","RF",0.753679368184832
9,"Full","RF",0.740263406599279
10,"Full","RF",0.790483415208533
11,"Full","RF",0.818837337424773
12,"Full","RF",0.773883113576381
1,"Full","Bagging",0.93167215438097
2,"Full","Bagging",0.984840626261626
3,"Full","Bagging",0.896217137552535
4,"Full","Bagging",1.01910844494929
5,"Full","Bagging",1.03528319417823
6,"Full","Bagging",0.958482264496019
7,"Full","Bagging",0.886570755324627
8,"Full","Bagging",1.1088191952422
9,"Full","Bagging",1.06742254977083
10,"Full","Bagging",1.14163615468993
11,"Full","Bagging",1.30988173214016
12,"Full","Bagging",1.01129442763399
1,"Full","Factor",0.883687833511982
2,"Full","Factor",0.817597132709688
3,"Full","Factor",0.848643139963703
4,"Full","Factor",0.820433115873451
5,"Full","Factor",0.806609542067978
6,"Full","Factor",0.835077211726401
7,"Full","Factor",0.862209011526151
8,"Full","Factor",0.872199460417591
9,"Full","Factor",0.824157982489297
10,"Full","Factor",0.852770294902623
11,"Full","Factor",0.845918479489039
12,"Full","Factor",0.810710295055971
1,"Full","AR",0.904818998545794
2,"Full","AR",0.804744421786319
3,"Full","AR",0.790656463848987
4,"Full","AR",0.802891718736934
5,"Full","AR",0.792062790531387
6,"Full","AR",0.793376642873062
7,"Full","AR",0.79453641712004
8,"Full","AR",0.773655788236985
9,"Full","AR",0.767189324169612
10,"Full","AR",0.809930470554216
11,"Full","AR",0.813629075603123
12,"Full","AR",0.730939155651614
1,"Pre_COVID","2SRR",0.941034862316978
2,"Pre_COVID","2SRR",0.796514849618309
3,"Pre_COVID","2SRR",0.753503673882891
4,"Pre_COVID","2SRR",0.76215366042356
5,"Pre_COVID","2SRR",0.775545030176192
6,"Pre_COVID","2SRR",0.814815616127619
7,"Pre_COVID","2SRR",0.814025059787216
8,"Pre_COVID","2SRR",0.791456599438909
9,"Pre_COVID","2SRR",0.799889616813158
10,"Pre_COVID","2SRR",0.875305619368037
11,"Pre_COVID","2SRR",0.840924631664924
12,"Pre_COVID","2SRR",0.760352715244269
1,"Pre_COVID","Ridge",0.876915991742054
2,"Pre_COVID","Ridge",0.773736686651223
3,"Pre_COVID","Ridge",0.740790926238279
4,"Pre_COVID","Ridge",0.787691556432916
5,"Pre_COVID","Ridge",0.766466578078412
6,"Pre_COVID","Ridge",0.786294177313481
7,"Pre_COVID","Ridge",0.795979623641857
8,"Pre_COVID","Ridge",0.810880375455984
9,"Pre_COVID","Ridge",0.817588598163796
10,"Pre_COVID","Ridge",0.889186668911358
11,"Pre_COVID","Ridge",0.873368388451239
12,"Pre_COVID","Ridge",0.78138919285275
1,"Pre_COVID","LASSO",0.817971011187501
2,"Pre_COVID","LASSO",0.731023465568363
3,"Pre_COVID","LASSO",0.725016512014144
4,"Pre_COVID","LASSO",0.763763735596719
5,"Pre_COVID","LASSO",0.757040610069001
6,"Pre_COVID","LASSO",0.755768731621405
7,"Pre_COVID","LASSO",0.757676246770828
8,"Pre_COVID","LASSO",0.737645051857552
9,"Pre_COVID","LASSO",0.741268651019154
10,"Pre_COVID","LASSO",0.806062562963737
11,"Pre_COVID","LASSO",0.809714335051329
12,"Pre_COVID","LASSO",0.716802247985761
1,"Pre_COVID","RF",0.870222087547332
2,"Pre_COVID","RF",0.740658977572377
3,"Pre_COVID","RF",0.707015595926355
4,"Pre_COVID","RF",0.752741462175573
5,"Pre_COVID","RF",0.739149546840995
6,"Pre_COVID","RF",0.736986606592722
7,"Pre_COVID","RF",0.740576801231694
8,"Pre_COVID","RF",0.725023724548824
9,"Pre_COVID","RF",0.714548766425745
10,"Pre_COVID","RF",0.748464887483349
11,"Pre_COVID","RF",0.770511706183913
12,"Pre_COVID","RF",0.744625908161845
1,"Pre_COVID","Bagging",0.868714400834807
2,"Pre_COVID","Bagging",0.8625979292692
3,"Pre_COVID","Bagging",0.743218714066505
4,"Pre_COVID","Bagging",0.848744876636594
5,"Pre_COVID","Bagging",0.900235791916101
6,"Pre_COVID","Bagging",0.929923824793236
7,"Pre_COVID","Bagging",0.878289719200903
8,"Pre_COVID","Bagging",1.12303856297308
9,"Pre_COVID","Bagging",1.07885361457267
10,"Pre_COVID","Bagging",1.12478560622724
11,"Pre_COVID","Bagging",1.34174975403693
12,"Pre_COVID","Bagging",1.00255156359555
1,"Pre_COVID","Factor",0.851996126207223
2,"Pre_COVID","Factor",0.78661145721142
3,"Pre_COVID","Factor",0.766289338809886
4,"Pre_COVID","Factor",0.793401056206643
5,"Pre_COVID","Factor",0.801558494023437
6,"Pre_COVID","Factor",0.82238185265734
7,"Pre_COVID","Factor",0.840350359283701
8,"Pre_COVID","Factor",0.85627797727726
9,"Pre_COVID","Factor",0.834681897994208
10,"Pre_COVID","Factor",0.852123414209017
11,"Pre_COVID","Factor",0.853023527029285
12,"Pre_COVID","Factor",0.808677465546132
1,"Pre_COVID","AR",0.903408636031691
