"h","case","RMSE_Ridge","RMSE_2SRR","Ratio","melhor"
1,"TVP_AR",0.286001432954572,0.269347654639008,0.941770297639699,"2SRR"
1,"TVP_Factor",0.270773231824166,0.331312146854567,1.22357791655607,"Ridge"
1,"TVP_FAVAR",0.270201313340398,0.324857113406792,1.2022780696019,"Ridge"
3,"TVP_AR",0.28227283447283,0.272584234143563,0.96567646919562,"Empate"
3,"TVP_Factor",0.316047905321212,0.336770987945996,1.06556943512637,"Ridge"
3,"TVP_FAVAR",0.705699313573993,0.730924377548635,1.03574477612411,"Empate"
6,"TVP_AR",0.844958591248828,0.668322283774847,0.790952705489488,"2SRR"
6,"TVP_Factor",0.770264401727174,0.861596609611611,1.11857254168782,"Ridge"
6,"TVP_FAVAR",1.19697642845173,0.980721181270608,0.819332075351857,"2SRR"
12,"TVP_AR",1.8639033528829,0.959815494427867,0.514949175311757,"2SRR"
12,"TVP_Factor",1.51927468150872,0.939978458456559,0.61870211482963,"2SRR"
12,"TVP_FAVAR",2.2000327247719,1.32893359984046,0.604051741993176,"2SRR"
